skills:[[3, 7, 1], [6, 6, 0], [3, 0, 2]], reward:8.4, epsilon:1.0
skills:[[1, 2, 1], [7, 4, 7], [-1, 0, 3]], reward:9.1, epsilon:1.0
skills:[[5, 4, -1], [2, 7, 5], [5, 2, 7]], reward:8.1, epsilon:1.0
skills:[[-1, 4, 7], [3, 2, 5], [1, 6, 7]], reward:7.9, epsilon:1.0
skills:[[0, 4, 1], [0, -1, 7], [5, 2, 3]], reward:8.8, epsilon:1.0
skills:[[4, -1, 0], [1, 7, 4], [1, 2, 0]], reward:10.7, epsilon:1.0
skills:[[7, 6, 5], [1, -1, 5], [0, 5, 0]], reward:3.2, epsilon:1.0
skills:[[0, 5, 5], [1, 7, 6], [4, 7, 4]], reward:8.9, epsilon:1.0
skills:[[7, -1, 4], [4, 2, 2], [6, 3, 1]], reward:8.3, epsilon:1.0
skills:[[3, 7, 7], [-1, 4, 6], [0, 0, 5]], reward:8.7, epsilon:1.0
skills:[[0, 4, 3], [6, 0, 3], [3, 2, 5]], reward:10.2, epsilon:1.0
skills:[[4, 4, 6], [0, 1, 2], [5, 2, 1]], reward:8.9, epsilon:1.0
skills:[[4, 7, -1], [-1, 1, 0], [3, 7, 0]], reward:14.8, epsilon:1.0
skills:[[6, -1, -1], [3, 7, 1], [6, 5, 7]], reward:9.7, epsilon:1.0
skills:[[2, 2, 7], [-1, 3, 5], [6, 5, -1]], reward:6.8, epsilon:1.0
skills:[[1, 6, 5], [6, 3, 7], [0, 3, 7]], reward:7.2, epsilon:1.0
skills:[[-1, 5, 7], [5, -1, 6], [-1, 7, 0]], reward:5.7, epsilon:1.0
skills:[[0, 7, 4], [3, 4, -1], [5, 7, 7]], reward:8.6, epsilon:1.0
skills:[[3, 1, 3], [4, 4, 0], [6, 0, 5]], reward:12.8, epsilon:1.0
skills:[[6, 2, 6], [7, -1, 7], [2, 5, 3]], reward:7.8, epsilon:1.0
skills:[[7, 3, 3], [5, 0, 1], [-1, 7, 0]], reward:7.2, epsilon:1.0
skills:[[-1, 1, 7], [3, 7, 3], [6, 2, 2]], reward:6.9, epsilon:1.0
skills:[[1, 2, 6], [-1, 3, 3], [7, 6, 7]], reward:8.1, epsilon:1.0
skills:[[-1, -1, 4], [-1, -1, 3], [3, 3, 6]], reward:8.1, epsilon:1.0
skills:[[4, -1, 6], [4, 3, 7], [5, 7, 5]], reward:7.1, epsilon:1.0
skills:[[7, -1, 0], [7, 2, 1], [6, 4, 3]], reward:7.2, epsilon:1.0
skills:[[4, 1, 7], [2, 6, 2], [4, 0, 1]], reward:12.2, epsilon:1.0
skills:[[7, 7, 2], [4, 6, 1], [-1, 1, 7]], reward:9.3, epsilon:1.0
skills:[[-1, 4, 3], [1, 6, 4], [0, 1, 3]], reward:9.5, epsilon:1.0
skills:[[7, 7, 5], [2, 5, 3], [1, 1, 4]], reward:16.3, epsilon:1.0
skills:[[5, 1, -1], [3, 4, 3], [3, 1, 3]], reward:12.5, epsilon:1.0
skills:[[7, 6, 1], [1, -1, 5], [2, 0, 6]], reward:9.5, epsilon:1.0
skills:[[5, 2, -1], [2, 1, 6], [5, 7, 7]], reward:8.3, epsilon:1.0
skills:[[-1, -1, -1], [4, 7, 2], [1, 6, 3]], reward:9.0, epsilon:1.0
skills:[[3, -1, 4], [1, 1, 4], [5, 0, 3]], reward:14.3, epsilon:1.0
skills:[[1, 0, 6], [-1, -1, 6], [0, 5, 6]], reward:7.3, epsilon:1.0
skills:[[7, 6, 0], [0, 2, 4], [3, 7, 6]], reward:9.9, epsilon:1.0
skills:[[3, 2, 4], [2, 6, 6], [-1, 7, 5]], reward:10.4, epsilon:1.0
skills:[[6, -1, 1], [1, 0, 1], [-1, 6, 0]], reward:14.2, epsilon:1.0
skills:[[5, 3, 6], [0, 5, -1], [5, 7, 7]], reward:9.9, epsilon:1.0
skills:[[1, 3, -1], [6, 6, 6], [5, 4, 6]], reward:11.2, epsilon:1.0
skills:[[2, -1, -1], [7, 0, 5], [5, 2, 5]], reward:7.3, epsilon:1.0
skills:[[5, 4, 7], [2, 4, 0], [4, -1, 2]], reward:7.3, epsilon:1.0
skills:[[-1, 4, 6], [4, 4, 3], [7, 7, 6]], reward:9.2, epsilon:1.0
skills:[[4, 6, 4], [7, 6, 1], [3, 5, 7]], reward:7.3, epsilon:1.0
skills:[[4, 1, 4], [0, 7, 0], [-1, -1, -1]], reward:10.4, epsilon:1.0
skills:[[7, 1, 3], [5, 4, -1], [0, -1, 4]], reward:10.6, epsilon:1.0
skills:[[5, 3, 0], [2, -1, 1], [1, 1, 7]], reward:8.5, epsilon:1.0
